"産業分類","事業所数","従業者数_（人）","有形固定資産額_年初現在高_（万円）","有形固定資産額_年初現在高_土地_（万円）","有形固定資産額_年初現在高_有形固定資産（土地を除く）_（万円）","有形固定資産額_取得額_（万円）","有形固定資産額_取得額_土地_（万円）","有形固定資産額_取得額_有形固定資産（土地を除く）_（万円）","有形固定資産額_除却額_（万円）","有形固定資産額_除却額_土地_（万円）","有形固定資産額_除却額_有形固定資産（土地を除く）_（万円）","有形固定資産額_減価償却額_（万円）","有形固定資産額_建　設　仮　勘　定_増加額_（万円）","有形固定資産額_建　設　仮　勘　定_減少額_（万円）","有形固定資産額_建　設　仮　勘　定_差引_（万円）","有形固定資産額_年末現在高_（万円）","有形固定資産額_年末現在高_土地_（万円）","有形固定資産額_年末現在高_有形固定資産（土地を除く）_（万円）","投資総額_（万円）","投資総額_構成比_（％）","投資総額_１事業所当たり_（万円）","投資総額_従業者１人当たり_（万円）"
"総　　数","353.0","33537.0","7.0106614E7","1.7218836E7","5.2887778E7","6822647.0","134410.0","6688237.0","798853.0","49051.0","749802.0","9044924.0","7032776.0","5053950.0","1978826.0","6.7085484E7","1.7304195E7","4.9781289E7","8801473.0","100.0","24933.0","262.0"
"09_食料","64.0","4296.0","2979392.0","1111486.0","1867906.0","300718.0","31599.0","269119.0","4303.0","-","4303.0","218171.0","71448.0","86018.0","-14570.0","3057636.0","1143085.0","1914551.0","286148.0","3.3","4471.0","67.0"
"10_飲料","10.0","1029.0","772961.0","235148.0","537813.0","411469.0","48310.0","363159.0","226.0","-","226.0","229901.0","225683.0","225683.0","0.0","954303.0","283458.0","670845.0","411469.0","4.7","41147.0","400.0"
"11_繊維","30.0","2023.0","1714175.0","1057808.0","656367.0","105699.0","19254.0","86445.0","15261.0","3155.0","12106.0","96939.0","20436.0","23935.0","-3499.0","1707674.0","1073907.0","633767.0","102200.0","1.2","3407.0","51.0"
"12_木材","8.0","423.0","812550.0","596678.0","215872.0","5411.0","-","5411.0","1160.0","-","1160.0","37351.0","-","-","0.0","779450.0","596678.0","182772.0","5411.0","0.1","676.0","13.0"
"13_家具","6.0","404.0","150364.0","91242.0","59122.0","4479.0","-","4479.0","914.0","-","914.0","8021.0","-","-","0.0","145908.0","91242.0","54666.0","4479.0","0.1","747.0","11.0"
"14_紙パ","5.0","354.0","603735.0","278552.0","325183.0","13504.0","-","13504.0","155.0","-","155.0","53788.0","9896.0","14540.0","-4644.0","563296.0","278552.0","284744.0","8860.0","0.1","1772.0","25.0"
"15_印刷","11.0","1034.0","441494.0","151808.0","289686.0","40585.0","-","40585.0","6590.0","-","6590.0","71638.0","8629.0","9261.0","-632.0","403851.0","151808.0","252043.0","39953.0","0.5","3632.0","39.0"
"16_化学","37.0","4494.0","8749999.0","1825290.0","6924709.0","2224730.0","3121.0","2221609.0","49001.0","-","49001.0","1593166.0","1637383.0","1886940.0","-249557.0","9332562.0","1828411.0","7504151.0","1975173.0","22.4","53383.0","440.0"
"17_石油","5.0","991.0","χ","χ","χ","χ","-","χ","χ","177.0","χ","χ","χ","χ","χ","χ","χ","χ","χ","5.0","χ","χ"
"18_プラ","18.0","1074.0","1428866.0","429963.0","998903.0","72036.0","-","72036.0","2696.0","-","2696.0","147019.0","30465.0","30665.0","-200.0","1351187.0","429963.0","921224.0","71836.0","0.8","3991.0","67.0"
"19_ゴム","9.0","959.0","493444.0","191598.0","301846.0","153895.0","-","153895.0","33.0","-","33.0","34589.0","207524.0","162740.0","44784.0","612717.0","191598.0","421119.0","198679.0","2.3","22075.0","207.0"
"20_皮革","1.0","45.0","χ","χ","χ","-","-","-","-","-","-","χ","-","-","χ","χ","χ","χ","-","0.0","-","-"
"21_窯業","7.0","405.0","χ","χ","χ","χ","-","χ","χ","-","χ","χ","χ","χ","χ","χ","χ","χ","χ","χ","χ","χ"
"22_鉄鋼","15.0","3494.0","3.3319609E7","4615737.0","2.8703872E7","2042615.0","4157.0","2038458.0","82486.0","305.0","82181.0","4626085.0","4244170.0","2071343.0","2172827.0","3.0653653E7","4619589.0","2.6034064E7","4215442.0","47.9","281029.0","1206.0"
"23_非鉄","6.0","489.0","669940.0","117256.0","552684.0","68395.0","-","68395.0","295669.0","-","295669.0","128792.0","43912.0","38381.0","5531.0","313874.0","117256.0","196618.0","73926.0","0.8","12321.0","151.0"
"24_金属","33.0","2134.0","3166370.0","1677343.0","1489027.0","136069.0","-","136069.0","19470.0","3800.0","15670.0","179462.0","16160.0","9365.0","6795.0","3103507.0","1673543.0","1429964.0","142864.0","1.6","4329.0","67.0"
"25_は用","13.0","2182.0","2029346.0","187995.0","1841351.0","261281.0","14152.0","247129.0","58055.0","-","58055.0","211417.0","157881.0","161190.0","-3309.0","2021155.0","202147.0","1819008.0","257972.0","2.9","19844.0","118.0"
"26_生産","26.0","2882.0","3213506.0","1807460.0","1406046.0","260247.0","3083.0","257164.0","8391.0","1900.0","6491.0","224724.0","47683.0","76267.0","-28584.0","3240638.0","1808643.0","1431995.0","231663.0","2.6","8910.0","80.0"
"27_業務","10.0","1128.0","1451644.0","833560.0","618084.0","51740.0","10075.0","41665.0","16070.0","-","16070.0","65355.0","1495.0","1495.0","0.0","1421959.0","843635.0","578324.0","51740.0","0.6","5174.0","46.0"
"28_電子","7.0","866.0","459397.0","171964.0","287433.0","77597.0","659.0","76938.0","6054.0","-","6054.0","88955.0","277.0","461.0","-184.0","441985.0","172623.0","269362.0","77413.0","0.9","11059.0","89.0"
"29_電気","14.0","1309.0","1650785.0","100319.0","1550466.0","58157.0","-","58157.0","67211.0","-","67211.0","167231.0","96744.0","77816.0","18928.0","1474500.0","100319.0","1374181.0","77085.0","0.9","5506.0","59.0"
"30_情報","2.0","315.0","χ","-","χ","χ","-","χ","χ","-","χ","χ","-","-","0.0","χ","-","χ","χ","χ","χ","χ"
