"産業分類","事業所数","従　業　者　数_男_（人）","従　業　者　数_女_（人）","従　業　者　数_計_（人）","事業に従事する者の人件費及び派遣受入者に係る人材・派遣会社への支払額_（万円）","事業に従事する者の人件費及び派遣受入者に係る人材・派遣会社への支払額_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_製造品出荷額_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_加工賃収入額_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_その他収入額_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_くず・廃物の出荷額_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_合   計_（万円）","付加価値額_（万円）"
"総　　　数","3621.0","36650.0","17022.0","53672.0","20234056.0","188424865.0","276930490.0","9471501.0","7700350.0","2176328.0","296278669.0","90294743.0"
"09_食　料","665.0","3783.0","4997.0","8780.0","2058525.0","7683074.0","12579836.0","394069.0","530458.0","-","13504363.0","5530899.0"
"10_飲　料","57.0","1032.0","326.0","1358.0","508406.0","5175250.0","5043579.0","1634119.0","564311.0","1663.0","7243672.0","1693170.0"
"11_繊　維","636.0","2709.0","2621.0","5330.0","1347211.0","4138723.0","5262215.0","2170300.0","152854.0","5.0","7585374.0","3246975.0"
"12_木　材","243.0","1252.0","408.0","1660.0","480245.0","1738889.0","3077036.0","97679.0","310639.0","3901.0","3489255.0","1646650.0"
"13_家　具","329.0","1279.0","526.0","1805.0","400369.0","1077520.0","1792194.0","28224.0","65142.0","-","1885560.0","776703.0"
"14_紙　パ","53.0","489.0","244.0","733.0","254390.0","1231277.0","1820199.0","28630.0","170603.0","-","2019432.0","703797.0"
"15_印　刷","180.0","1225.0","590.0","1815.0","453375.0","772995.0","1423752.0","347027.0","87535.0","-","1858314.0","977573.0"
"16_化　学","90.0","3911.0","1008.0","4919.0","2854740.0","15159591.0","31235483.0","446971.0","443250.0","55047.0","32180751.0","15717436.0"
"17_石　油","18.0","967.0","93.0","1060.0","731361.0","55689380.0","77009424.0","119374.0","372362.0","-","77501160.0","12045599.0"
"18_プ　ラ","122.0","1142.0","735.0","1877.0","564592.0","2305317.0","4423897.0","135687.0","93810.0","-","4653394.0","2107681.0"
"19_ゴ　ム","20.0","667.0","438.0","1105.0","χ","χ","χ","χ","χ","-","χ","χ"
"20_皮　革","24.0","91.0","66.0","157.0","33719.0","93356.0","122094.0","34801.0","-","-","156895.0","58126.0"
"21_窯　業","125.0","1185.0","252.0","1437.0","542151.0","2497552.0","3573560.0","903512.0","234306.0","167.0","4711545.0","2134028.0"
"22_鉄　鋼","69.0","3624.0","245.0","3869.0","2437742.0","66002156.0","78222493.0","412924.0","3413340.0","2115258.0","84164015.0","15037545.0"
"23_非　鉄","15.0","415.0","119.0","534.0","237359.0","3112663.0","3774112.0","47632.0","-","-","3821744.0","473599.0"
"24_金　属","276.0","3118.0","694.0","3812.0","1411342.0","4099191.0","7408360.0","1003898.0","544668.0","287.0","8957213.0","4514088.0"
"25_は　用","71.0","2211.0","441.0","2652.0","1250342.0","6322057.0","19620554.0","383807.0","41018.0","-","20045379.0","13079761.0"
"26_生　産","175.0","3109.0","760.0","3869.0","1694354.0","4347674.0","8314768.0","248905.0","125649.0","-","8689322.0","4208599.0"
"27_業　務","20.0","774.0","431.0","1205.0","582091.0","707078.0","1525685.0","10670.0","276995.0","-","1813350.0","1015087.0"
"28_電　子","15.0","636.0","327.0","963.0","χ","χ","χ","χ","χ","-","χ","χ"
"29_電　気","55.0","1095.0","585.0","1680.0","685700.0","3059811.0","4191546.0","133647.0","43603.0","-","4368796.0","1279402.0"
"30_情　報","6.0","184.0","151.0","335.0","114609.0","43825.0","13332.0","212302.0","35144.0","-","260778.0","200533.0"
"31_輸　送","56.0","584.0","148.0","732.0","270689.0","484342.0","1094586.0","424906.0","13601.0","-","1533093.0","1008690.0"
"32_そ　他","301.0","1168.0","817.0","1985.0","528596.0","1206450.0","2330633.0","91145.0","118247.0","-","2540025.0","1220404.0"
