"市町村","事業所数","従　業　者　数_男_（人）","従　業　者　数_女_（人）","従　業　者　数_計_（人）","事業に従事する者の人件費及び派遣受入者に係る人材・派遣会社への支払額_（万円）","原材料、燃料、電力の使用額等_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_製造品出荷額_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_加工賃収入額_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_その他収入額_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_くず・廃物の出荷額_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_合   計_（万円）","付加価値額_（万円）"
"総　　　数","3621.0","36650.0","17022.0","53672.0","20234056.0","188424865.0","276930490.0","9471501.0","7700350.0","2176328.0","296278669.0","90294743.0"
"201_和歌山市","1195.0","17135.0","5972.0","23107.0","10344339.0","94051756.0","138958191.0","4541436.0","5114258.0","2170764.0","150784649.0","51802292.0"
"202_海南市","338.0","3003.0","1395.0","4398.0","1585911.0","18680432.0","25287952.0","1570431.0","514367.0","1664.0","27374414.0","7396152.0"
"203_橋本市","282.0","1080.0","734.0","1814.0","432245.0","1109795.0","1940951.0","316696.0","93112.0","-","2350759.0","1180248.0"
"204_有田市","129.0","1344.0","828.0","2172.0","935812.0","49946297.0","70650253.0","63354.0","291710.0","-","71005317.0","11420759.0"
"205_御坊市","101.0","769.0","422.0","1191.0","385021.0","1457391.0","2342750.0","48946.0","105761.0","-","2497457.0","985017.0"
"206_田辺市","344.0","1443.0","1375.0","2818.0","716931.0","1958642.0","3408775.0","179162.0","194383.0","-","3782320.0","1677358.0"
"207_新宮市","84.0","506.0","353.0","859.0","205634.0","446893.0","882853.0","42120.0","68807.0","-","993780.0","529026.0"
"208_紀の川市","211.0","3337.0","1186.0","4523.0","1819950.0","7466139.0","11060018.0","1205796.0","574797.0","-","12840611.0","4766422.0"
"209_岩出市","54.0","539.0","415.0","954.0","242193.0","695743.0","927370.0","193646.0","93805.0","-","1214821.0","468720.0"
"304_紀美野町","85.0","451.0","280.0","731.0","196413.0","424067.0","816611.0","41055.0","19361.0","-","877027.0","415358.0"
"341_かつらぎ町","95.0","1198.0","617.0","1815.0","494397.0","2207613.0","3654762.0","288543.0","76149.0","-","4019454.0","1654808.0"
"343_九度山町","18.0","57.0","51.0","108.0","20885.0","35283.0","61933.0","27778.0","4702.0","-","94413.0","56340.0"
"344_高野町","32.0","72.0","86.0","158.0","47906.0","48538.0","138057.0","12089.0","2502.0","-","152648.0","98932.0"
"361_湯浅町","67.0","290.0","208.0","498.0","115193.0","350722.0","601226.0","42051.0","37244.0","-","680521.0","315359.0"
"362_広川町","22.0","229.0","89.0","318.0","96377.0","427259.0","572029.0","11054.0","22110.0","-","605193.0","175811.0"
"366_有田川町","88.0","978.0","494.0","1472.0","510956.0","2651463.0","3394213.0","297045.0","216436.0","-","3907694.0","1150406.0"
"381_美浜町","25.0","119.0","101.0","220.0","67576.0","88001.0","252305.0","28715.0","4824.0","-","285844.0","185975.0"
"382_日高町","27.0","126.0","55.0","181.0","53925.0","189125.0","308913.0","14184.0","14879.0","3900.0","341876.0","143863.0"
"383_由良町","24.0","512.0","87.0","599.0","254739.0","737144.0","1943836.0","274146.0","25811.0","-","2243793.0","1471894.0"
"390_印南町","27.0","452.0","164.0","616.0","218438.0","637466.0","1702488.0","15452.0","10256.0","-","1728196.0","920711.0"
"391_みなべ町","118.0","847.0","901.0","1748.0","513460.0","1821830.0","2944474.0","52053.0","96839.0","-","3093366.0","1209990.0"
"392_日高川町","29.0","591.0","163.0","754.0","258344.0","956459.0","1558392.0","38738.0","22094.0","-","1619224.0","553983.0"
"401_白浜町","48.0","335.0","308.0","643.0","161854.0","375699.0","704143.0","946.0","45143.0","-","750232.0","369513.0"
"404_上富田町","48.0","740.0","360.0","1100.0","379387.0","1171500.0","1972201.0","109647.0","21000.0","-","2102848.0","902740.0"
"406_すさみ町","22.0","103.0","55.0","158.0","42262.0","157948.0","246319.0","33503.0","9902.0","-","289724.0","144409.0"
"421_那智勝浦町","36.0","143.0","135.0","278.0","54709.0","112742.0","232035.0","9509.0","7016.0","-","248560.0","128485.0"
"422_太地町","9.0","27.0","25.0","52.0","7533.0","16367.0","29862.0","1078.0","50.0","-","30990.0","13926.0"
"424_古座川町","7.0","20.0","26.0","46.0","7867.0","23073.0","37528.0","31.0","5353.0","-","42912.0","18859.0"
"427_北山村","3.0","2.0","7.0","9.0","489.0","15752.0","23900.0","-","-","-","23900.0","7761.0"
"428_串本町","53.0","202.0","130.0","332.0","63310.0","163726.0","276150.0","12297.0","7679.0","-","296126.0","129626.0"
