"従業者規模","事業所数","従業者数_（人）","製造品出荷額等_（万円）","付加価値額_（万円）　　","従業者規模"
"総　　　数","3621.0","53672.0","296278669.0","90294743.0","総　　　数"
"総　　　数_  1～  3人","1515.0","3127.0","2107677.0","1091720.0","  1～  3人"
"総　　　数_  4～  9人","1136.0","6693.0","7510834.0","3715540.0","  4～  9人"
"総　　　数_ 10～ 19人","437.0","6004.0","10653708.0","4308900.0"," 10～ 19人"
"総　　　数_ 20～ 29人","180.0","4311.0","7620305.0","3521860.0"," 20～ 29人"
"総　　　数_ 30～ 99人","281.0","14897.0","42394429.0","15511954.0"," 30～ 99人"
"総　　　数_100～299人","60.0","9477.0","37274974.0","12793876.0","100～299人"
"総　　　数_300人以上","12.0","9163.0","188716742.0","49350893.0","300人以上 "
"和歌山市","1195.0","23107.0","150784649.0","51802292.0","和歌山市"
"和歌山市_  1～  3人","441.0","920.0","702295.0","343102.0","  1～  3人"
"和歌山市_  4～  9人","390.0","2296.0","2917723.0","1379463.0","  4～  9人"
"和歌山市_ 10～ 19人","165.0","2253.0","4246373.0","1688695.0"," 10～ 19人"
"和歌山市_ 20～ 29人","65.0","1558.0","3166016.0","1467700.0"," 20～ 29人"
"和歌山市_ 30～ 99人","104.0","5293.0","16747346.0","6198637.0"," 30～ 99人"
"和歌山市_100～299人","22.0","3473.0","14364943.0","4122612.0","100～299人"
"和歌山市_300人以上","8.0","7314.0","108639953.0","36602083.0","300人以上 "
"海南市","338.0","4398.0","27374414.0","7396152.0","海南市"
"海南市_  1～  3人","142.0","290.0","179806.0","82042.0","  1～  3人"
"海南市_  4～  9人","112.0","612.0","688675.0","291171.0","  4～  9人"
"海南市_ 10～ 19人","36.0","482.0","709364.0","297709.0"," 10～ 19人"
"海南市_ 20～ 29人","17.0","415.0","644693.0","270731.0"," 20～ 29人"
"海南市_ 30～ 99人","24.0","1378.0","4929746.0","1871454.0"," 30～ 99人"
"海南市_100～299人","6.0","914.0","χ","χ","100～299人"
"海南市_300人以上","1.0","307.0","χ","χ","300人以上 "
"橋本市","282.0","1814.0","2350759.0","1180248.0","橋本市"
"橋本市_  1～  3人","171.0","349.0","125808.0","83339.0","  1～  3人"
"橋本市_  4～  9人","70.0","403.0","345143.0","206500.0","  4～  9人"
"橋本市_ 10～ 19人","24.0","327.0","686585.0","292367.0"," 10～ 19人"
"橋本市_ 20～ 29人","9.0","223.0","284604.0","117212.0"," 20～ 29人"
"橋本市_ 30～ 99人","7.0","354.0","χ","χ"," 30～ 99人"
"橋本市_100～299人","1.0","158.0","χ","χ","100～299人"
"橋本市_300人以上","-","-","-","-","300人以上 "
"有田市","129.0","2172.0","71005317.0","11420759.0","有田市"
"有田市_  1～  3人","58.0","130.0","54812.0","29832.0","  1～  3人"
"有田市_  4～  9人","42.0","250.0","300433.0","144233.0","  4～  9人"
"有田市_ 10～ 19人","12.0","145.0","174937.0","72372.0"," 10～ 19人"
"有田市_ 20～ 29人","5.0","117.0","158944.0","100262.0"," 20～ 29人"
"有田市_ 30～ 99人","9.0","385.0","1061249.0","324191.0"," 30～ 99人"
"有田市_100～299人","1.0","127.0","χ","χ","100～299人"
"有田市_300人以上","2.0","1018.0","χ","χ","300人以上 "
"御坊市","101.0","1191.0","2497457.0","985017.0","御坊市"
"御坊市_  1～  3人","42.0","80.0","53545.0","20854.0","  1～  3人"
"御坊市_  4～  9人","28.0","159.0","139290.0","62436.0","  4～  9人"
"御坊市_ 10～ 19人","14.0","175.0","238390.0","138758.0"," 10～ 19人"
"御坊市_ 20～ 29人","8.0","184.0","287675.0","104243.0"," 20～ 29人"
"御坊市_ 30～ 99人","7.0","337.0","χ","χ"," 30～ 99人"
"御坊市_100～299人","2.0","256.0","χ","χ","100～299人"
"御坊市_300人以上","-","-","-","-","300人以上 "
"田辺市","344.0","2818.0","3782320.0","1677358.0","田辺市"
"田辺市_  1～  3人","179.0","367.0","252598.0","128740.0","  1～  3人"
"","","","","",""
"","","","","",""
"","","","","",""
"田辺市_  4～  9人","90.0","550.0","444552.0","238797.0","  4～  9人"
"田辺市_ 10～ 19人","40.0","564.0","605725.0","284751.0"," 10～ 19人"
"田辺市_ 20～ 29人","17.0","414.0","633365.0","274916.0"," 20～ 29人"
"田辺市_ 30～ 99人","17.0","802.0","χ","χ"," 30～ 99人"
"田辺市_100～299人","1.0","121.0","χ","χ","100～299人"
"田辺市_300人以上","-","-","-","-","300人以上 "
"新宮市","84.0","859.0","993780.0","529026.0","新宮市"
"新宮市_  1～  3人","45.0","89.0","82960.0","53301.0","  1～  3人"
"新宮市_  4～  9人","24.0","134.0","190089.0","86796.0","  4～  9人"
"新宮市_ 10～ 19人","10.0","131.0","144703.0","89615.0"," 10～ 19人"
"新宮市_ 20～ 29人","1.0","20.0","χ","χ"," 20～ 29人"
"新宮市_ 30～ 99人","3.0","191.0","χ","χ"," 30～ 99人"
"新宮市_100～299人","1.0","294.0","χ","χ","100～299人"
"新宮市_300人以上","-","-","-","-","300人以上 "
"紀の川市","211.0","4523.0","12840611.0","4766422.0","紀の川市"
"紀の川市_  1～  3人","58.0","128.0","52654.0","33109.0","  1～  3人"
"紀の川市_  4～  9人","63.0","392.0","499761.0","315347.0","  4～  9人"
"紀の川市_ 10～ 19人","35.0","511.0","1124594.0","530345.0"," 10～ 19人"
"紀の川市_ 20～ 29人","12.0","291.0","721225.0","378283.0"," 20～ 29人"
"紀の川市_ 30～ 99人","35.0","1958.0","6583101.0","2285434.0"," 30～ 99人"
"紀の川市_100～299人","8.0","1243.0","3859276.0","1223904.0","100～299人"
"紀の川市_300人以上","-","-","-","-","300人以上 "
"岩出市","54.0","954.0","1214821.0","468720.0","岩出市"
"岩出市_  1～  3人","12.0","23.0","14761.0","7077.0","  1～  3人"
"岩出市_  4～  9人","18.0","100.0","172542.0","86305.0","  4～  9人"
"岩出市_ 10～ 19人","10.0","135.0","212288.0","119816.0"," 10～ 19人"
"岩出市_ 20～ 29人","5.0","106.0","143931.0","64810.0"," 20～ 29人"
"岩出市_ 30～ 99人","8.0","487.0","χ","χ"," 30～ 99人"
"岩出市_100～299人","1.0","103.0","χ","χ","100～299人"
"岩出市_300人以上","-","-","-","-","300人以上 "
"紀美野町","85.0","731.0","877027.0","415358.0","紀美野町"
"紀美野町_  1～  3人","40.0","88.0","46848.0","19315.0","  1～  3人"
"紀美野町_  4～  9人","28.0","170.0","118249.0","61011.0","  4～  9人"
"紀美野町_ 10～ 19人","6.0","82.0","97068.0","36704.0"," 10～ 19人"
"紀美野町_ 20～ 29人","5.0","114.0","173304.0","83639.0"," 20～ 29人"
"紀美野町_ 30～ 99人","6.0","277.0","441558.0","214689.0"," 30～ 99人"
"紀美野町_100～299人","-","-","-","-","100～299人"
"紀美野町_300人以上","-","-","-","-","300人以上 "
"かつらぎ町","95.0","1815.0","4019454.0","1654808.0","かつらぎ町"
"かつらぎ町_  1～  3人","48.0","93.0","187911.0","126083.0","  1～  3人"
