"年次別","事　業　所　数_和　歌　山　県_実　数","事　業　所　数_和　歌　山　県_前年比（％）","事　業　所　数_全　　　　　国_実　数","事　業　所　数_全　　　　　国_前年比（％）","従　業　者　数　（人）_和　歌　山　県_実　数","従　業　者　数　（人）_和　歌　山　県_前年比（％）","従　業　者　数　（人）_全　　　　　国_実　数","従　業　者　数　（人）_全　　　　　国_前年比（％）","製　造　品　出　荷　額　等　（百万円）_和　歌　山　県_金　額","製　造　品　出　荷　額　等　（百万円）_和　歌　山　県_前年比（％）","製　造　品　出　荷　額　等　（百万円）_全　　　　　国_金　額","製　造　品　出　荷　額　等　（百万円）_全　　　　　国_前年比（％）","付　加　価　値　額　（百万円）_和　歌　山　県_金　額","付　加　価　値　額　（百万円）_和　歌　山　県_前年比（％）","付　加　価　値　額　（百万円）_全　　　　　国_金　額","付　加　価　値　額　（百万円）_全　　　　　国_前年比（％）"
"平成14年","2659.0","-6.3","290848.0","-8.0","55276.0","-3.3","8323589.0","-6.1","2053518.0","-8.3","269361805.0","-6.0","802723.0","-6.2","97458726.0","-5.7"
"15年","2669.0","0.4","293910.0","1.1","54320.0","-1.7","8226302.0","-1.2","2001065.0","-2.6","273409438.0","1.5","860912.0","7.2","98551522.0","1.1"
"16年","2473.0","-7.3","271087.0","-7.8","53130.0","-2.2","8115743.0","-1.3","2364304.0","18.2","283529598.0","3.7","904748.0","5.1","101246663.0","2.7"
"17年","2497.0","1.0","276715.0","2.1","52416.0","-1.3","8156992.0","0.5","2780266.0","17.6","295345543.0","4.2","1045022.0","15.5","103966838.0","2.7"
"18年","2259.0","-9.5","258543.0","-6.6","50557.0","-3.5","8225442.0","0.8","2834238.0","1.9","314834621.0","6.6","993647.0","-4.9","107598153.0","3.5"
"19年","2145.0","-5.0","258032.0","-0.2","52367.0","3.6","8494793.0","3.3","3158950.0","11.5","335854210.0","-0.4","863275.0","-13.1","108357248.0","-2.6"
"20年","2229.0","3.9","263061.0","1.9","52560.0","0.4","8364607.0","-1.5","3265564.0","3.4","335578825.0","-0.1","944574.0","9.4","101304661.0","-6.5"
"21年","2016.0","-9.6","235817.0","-10.4","49154.0","-6.5","7735789.0","-7.5","2414808.0","-26.1","265259031.0","-21.0","661613.0","-30.0","80319365.0","-20.7"
"22年","1930.0","-4.3","224403.0","-4.8","48873.0","-0.6","7663847.0","-0.9","2676879.0","10.9","289107683.0","9.0","809644.0","22.4","90667210.0","12.9"
"23年","2106.0","9.1","233186.0","3.9","50545.0","3.4","7472111.0","-2.5","2941710.0","9.9","284968753.0","-1.4","892030.0","10.2","91554445.0","1.0"
